i,count
1776,11
3555,11
23,11
8621,11
12014,11
8687,11
138,11
2798,11
580,11
2497,11
5219,11
8921,11
2101,11
2290,11
10604,11
7002,11
1971,11
4973,11
2013,11
9715,11
1785,11
2041,11
598,11
4127,11
3303,11
2663,11
12954,11
7936,11
2883,11
238,11
1498,11
7863,11
4182,11
5246,11
15255,11
4205,11
11231,11
11654,11
4976,11
12699,11
8922,11
3720,11
5186,11
2762,11
5218,11
2129,11
5564,11
4700,11
4462,11
9657,11
2304,11
4217,11
6032,11
6535,11
2886,11
2686,11
5898,11
1191,11
9823,11
3486,11
2318,11
4111,11
6668,11
5365,11
5725,11
14700,11
3533,11
6969,11
4141,11
2374,11
15116,11
7099,11
1859,11
7390,11
8540,11
186,11
7120,11
15249,11
1947,11
4669,11
8684,11
443,11
2489,11
10716,11
621,11
6638,11
6465,10
4696,10
9337,10
2495,10
1723,10
4455,10
486,10
2198,10
13103,10
5305,10
4836,10
7648,10
4344,10
6474,10
8517,10
1617,10
2131,10
6226,10
8397,10
5022,10
7114,10
7072,10
13166,10
472,10
13830,10
10361,10
5311,10
7224,10
6187,10
6859,10
6353,10
3442,10
4884,10
549,10
3675,10
160,10
1724,10
8215,10
9071,10
1846,10
3190,10
3955,10
7134,10
1862,10
5907,10
4784,10
1829,10
3604,10
8651,10
8176,10
6298,10
4230,10
2432,10
4889,10
3317,10
13513,10
9525,10
170,10
2185,10
4905,10
5595,10
8816,10
6251,10
1649,10
6411,10
13878,10
2830,10
9349,10
6484,10
6519,10
8539,10
1008,10
15247,10
1074,10
2543,10
7913,10
3077,10
8692,10
5502,10
4927,10
195,10
102,10
9719,10
7283,10
7076,10
9092,10
6159,10
14406,10
8906,10
5016,10
119,10
2653,10
13248,10
2888,10
1286,10
1067,10
8996,10
1969,10
6745,10
2957,10
1639,10
12112,10
7731,10
5197,10
5328,10
15052,10
10867,10
12062,10
4199,10
10078,10
4181,10
11777,10
1766,10
9457,10
8653,10
5412,10
8195,10
5728,10
9791,10
1489,10
10537,10
2697,10
14840,10
7229,10
7533,10
6381,10
6490,10
12636,10
6576,10
3284,10
5135,10
1677,10
3941,10
4285,10
7632,10
6807,10
12376,10
15112,10
8458,10
15195,10
9407,10
5828,10
4848,10
13323,10
1688,10
8526,10
8998,10
13816,10
6707,10
4295,10
6787,10
4787,10
2979,10
13574,10
434,10
6390,10
5134,10
1548,10
1885,10
11769,10
10893,10
11473,10
6804,10
8942,10
11076,10
3280,10
2354,10
3372,10
1164,10
1087,10
1394,10
10374,10
9281,10
14304,10
8166,10
5514,10
784,10
8291,10
3145,10
3948,10
4789,10
6025,10
4204,10
439,10
3458,10
8798,10
13940,10
5929,10
10056,10
7702,10
4615,10
3289,10
450,10
1551,10
15098,10
15217,10
7479,10
14752,10
7346,10
4857,10
5782,10
1334,10
2277,10
10258,10
7062,10
2059,10
5430,10
6173,10
1480,10
2547,10
2509,10
4604,10
2514,10
11624,10
8925,10
6216,10
3996,10
3200,10
7341,10
5215,10
8362,10
6198,10
8349,10
3975,10
3903,10
6214,10
1780,10
11376,10
9655,10
4399,10
6000,10
9664,10
3495,10
1611,10
746,10
15081,10
10909,10
4104,10
4571,10
10365,10
11410,10
13957,10
5568,10
9625,10
14299,10
2538,10
3937,10
3834,10
1641,10
4225,10
9088,10
11956,10
10409,10
7336,10
198,10
966,10
1916,10
4342,10
3814,10
589,10
5687,10
3971,10
5475,10
4320,10
10174,10
1387,10
13190,10
6874,10
15232,10
6823,10
2540,10
1291,10
5163,10
3444,10
876,10
547,10
5822,10
9094,10
2291,10
328,10
14986,10
2834,10
244,10
8469,10
12701,10
4718,9
1177,9
8980,9
1676,9
9495,9
117,9
14815,9
3288,9
7818,9
5107,9
16,9
4198,9
15213,9
7806,9
2377,9
923,9
4398,9
1728,9
3396,9
4478,9
1580,9
348,9
1296,9
7389,9
11358,9
1014,9
779,9
694,9
3061,9
3698,9
3921,9
970,9
12704,9
6515,9
10000,9
2306,9
10,9
7064,9
7461,9
3810,9
7649,9
1017,9
3553,9
4607,9
8577,9
5830,9
12624,9
9909,9
10547,9
1195,9
5938,9
6617,9
12944,9
9321,9
39,9
93,9
4480,9
8722,9
4642,9
1238,9
2211,9
14721,9
5883,9
3805,9
12081,9
356,9
2880,9
4920,9
5928,9
13007,9
12070,9
830,9
66,9
4641,9
7910,9
4524,9
7098,9
5508,9
6321,9
7494,9
2607,9
11209,9
4638,9
3515,9
9626,9
3463,9
5488,9
2120,9
1400,9
10275,9
15029,9
13432,9
4655,9
9392,9
3217,9
1168,9
7980,9
7543,9
12293,9
12756,9
4023,9
6006,9
3529,9
4291,9
9265,9
1383,9
10435,9
6001,9
9202,9
4021,9
4965,9
6046,9
1423,9
4353,9
10299,9
8795,9
2010,9
7253,9
8882,9
2884,9
2700,9
1282,9
5237,9
14510,9
4653,9
2488,9
1304,9
8445,9
251,9
13662,9
2826,9
11374,9
5386,9
624,9
11035,9
9165,9
6513,9
4645,9
9264,9
3320,9
6791,9
3362,9
4313,9
6539,9
1799,9
3292,9
11227,9
2506,9
4840,9
3110,9
1972,9
7855,9
8408,9
13596,9
13243,9
898,9
6434,9
10246,9
4627,9
10936,9
9720,9
3015,9
4758,9
9308,9
2769,9
1280,9
216,9
153,9
11180,9
3301,9
848,9
3001,9
1687,9
5234,9
2445,9
5023,9
8943,9
428,9
765,9
14884,9
7519,9
6725,9
8704,9
3595,9
563,9
3905,9
3181,9
4732,9
6854,9
13943,9
525,9
4891,9
4351,9
12574,9
2546,9
3234,9
1987,9
7785,9
14100,9
10260,9
13466,9
6770,9
2068,9
2551,9
807,9
8197,9
1200,9
1112,9
8354,9
14557,9
4766,9
7796,9
10370,9
2656,9
4788,9
1007,9
12854,9
4878,9
528,9
1329,9
12104,9
4431,9
5480,9
11143,9
8035,9
6531,9
7878,9
2515,9
13009,9
7172,9
613,9
15041,9
10256,9
15204,9
7117,9
11185,9
5840,9
4774,9
7218,9
9207,9
2575,9
7571,9
6097,9
1347,9
1734,9
2376,9
5450,9
2390,9
122,9
2165,9
4387,9
5863,9
12520,9
208,9
4189,9
11967,9
1160,9
392,9
4619,9
789,9
3012,9
5886,9
3831,9
48,9
7630,9
7929,9
10577,9
4137,9
8760,9
1523,9
1697,9
1016,9
5535,9
11310,9
4909,9
10753,9
5793,9
4292,9
4978,9
12647,9
2510,9
3302,9
7059,9
3062,9
1050,9
3899,9
14635,9
4229,9
5552,9
8051,9
2137,9
7518,9
12700,9
11038,9
3236,9
9984,9
1566,9
419,9
5177,9
1622,9
2581,9
1207,9
13200,9
6846,9
10169,9
1127,9
536,9
2273,9
2982,9
1390,9
4861,9
121,9
5032,9
2871,9
7029,9
6300,9
1241,9
2439,9
6708,9
1967,9
4553,9
5045,9
2625,9
10432,9
10037,9
4150,9
8542,9
6685,9
1931,9
12484,9
8931,9
9753,9
8,9
3350,9
1510,9
4913,9
4123,9
1012,9
3859,9
12227,9
15049,9
8916,9
9663,9
11332,9
14887,9
36,9
1231,9
12078,9
9191,9
6589,9
6528,9
12960,9
1482,9
7095,9
4649,9
1864,9
5359,9
9937,9
2262,9
11796,9
10371,9
89,9
3109,9
6351,9
6737,9
8748,9
5014,9
3186,9
8899,9
8258,9
6834,9
12154,9
774,9
448,9
3262,9
8940,9
6641,9
6614,8
13021,8
7504,8
14861,8
11625,8
10178,8
5469,8
3735,8
6423,8
7297,8
8762,8
6523,8
2770,8
7532,8
7306,8
6421,8
5652,8
14222,8
4896,8
11114,8
4643,8
4777,8
2563,8
2998,8
83,8
9773,8
15069,8
9636,8
12738,8
5576,8
3801,8
4663,8
8898,8
3576,8
9374,8
11403,8
9807,8
7386,8
12320,8
2015,8
1037,8
201,8
4341,8
2817,8
4882,8
10549,8
3574,8
5271,8
262,8
9971,8
5647,8
722,8
11518,8
3402,8
11798,8
837,8
5650,8
11166,8
13937,8
9512,8
10381,8
14131,8
846,8
1202,8
1662,8
6963,8
5857,8
13427,8
878,8
1047,8
3113,8
8421,8
261,8
11443,8
8830,8
5528,8
10574,8
4624,8
546,8
2662,8
3845,8
13452,8
1409,8
5667,8
3251,8
2535,8
3103,8
3390,8
6469,8
3519,8
7449,8
3668,8
14496,8
13829,8
7482,8
6671,8
8096,8
13981,8
2215,8
1995,8
608,8
7291,8
6521,8
13474,8
10421,8
158,8
4987,8
4110,8
9503,8
248,8
1756,8
2951,8
1663,8
2645,8
7402,8
5950,8
9118,8
5198,8
961,8
1327,8
6493,8
3323,8
11815,8
2985,8
15214,8
1315,8
9,8
3522,8
11266,8
6206,8
3397,8
7404,8
8629,8
8232,8
12,8
2665,8
2117,8
1520,8
457,8
4534,8
15284,8
7132,8
1965,8
1618,8
294,8
803,8
3239,8
2502,8
5498,8
2113,8
4875,8
3727,8
7144,8
1300,8
3662,8
6260,8
2500,8
4876,8
960,8
645,8
4644,8
5461,8
2610,8
698,8
10023,8
1868,8
155,8
10554,8
3410,8
255,8
11451,8
8071,8
1873,8
7371,8
6209,8
2373,8
1607,8
2297,8
3139,8
8016,8
2643,8
1416,8
9283,8
11610,8
8335,8
14084,8
2854,8
10858,8
156,8
4227,8
6498,8
8872,8
4792,8
5531,8
11251,8
1140,8
7758,8
6497,8
526,8
11652,8
2752,8
5764,8
3368,8
10818,8
426,8
716,8
3897,8
10188,8
5501,8
7153,8
8977,8
4550,8
7488,8
4348,8
11391,8
127,8
5854,8
9547,8
4284,8
2128,8
13311,8
3383,8
6920,8
10301,8
7442,8
10578,8
8587,8
10714,8
2772,8
637,8
6486,8
10803,8
3,8
2920,8
3702,8
3318,8
4130,8
14605,8
12493,8
7009,8
1151,8
4885,8
1516,8
13896,8
14076,8
593,8
9369,8
11836,8
6237,8
4841,8
1635,8
10095,8
7876,8
9693,8
2323,8
5,8
818,8
82,8
5036,8
3911,8
13652,8
3274,8
9260,8
3192,8
3930,8
9110,8
5078,8
1377,8
7411,8
193,8
3826,8
3543,8
2477,8
10061,8
1232,8
2588,8
9164,8
688,8
13741,8
6058,8
3497,8
10151,8
4358,8
2122,8
4971,8
3976,8
9111,8
2885,8
9898,8
189,8
1490,8
5541,8
11370,8
11481,8
518,8
541,8
6063,8
5220,8
10005,8
3993,8
2028,8
2811,8
6713,8
9062,8
3864,8
655,8
6009,8
5989,8
13191,8
3594,8
6916,8
12747,8
1391,8
2676,8
10217,8
7159,8
747,8
12077,8
499,8
5054,8
3114,8
6943,8
8518,8
12345,8
7619,8
8151,8
12531,8
12573,8
1297,8
2932,8
431,8
2239,8
366,8
6114,8
312,8
6080,8
5664,8
5917,8
379,8
12992,8
9809,8
1627,8
12532,8
4988,8
5129,8
5388,8
1468,8
2754,8
3258,8
6896,8
9630,8
853,8
2134,8
2890,8
5354,8
300,8
6026,8
8663,8
1301,8
8158,8
3210,8
8292,8
4791,8
586,8
998,8
3253,8
8773,8
2274,8
7315,8
3247,8
9341,8
3723,8
416,8
3751,8
11392,8
743,8
2496,8
5233,8
9850,8
2962,8
6866,8
8055,8
1081,8
9914,8
1152,8
2557,8
6165,8
5309,8
5791,8
4863,8
9000,8
3753,8
2973,8
408,8
4760,8
6870,8
4345,8
1371,8
13282,8
5752,8
12046,8
9441,8
14426,8
938,8
4288,8
6899,8
8850,8
3425,8
4647,8
4706,8
5059,8
7104,8
1997,8
3881,8
1988,8
5209,8
14205,8
10456,8
8945,8
4712,8
4216,8
6183,8
76,8
7745,8
11000,8
6489,8
5974,8
5672,8
4570,8
4894,8
2616,8
1572,8
9056,8
8114,8
9150,8
7165,8
164,8
887,8
2322,8
7299,8
996,8
6613,8
1803,8
798,8
8800,8
8919,8
11816,8
5538,8
5606,8
11718,8
4207,8
9806,8
9134,8
11218,8
9319,8
5049,8
3681,8
9024,8
11099,8
8021,8
2288,8
9450,8
34,8
9816,8
8842,8
4691,8
5383,8
6615,8
3887,8
6813,8
8708,8
2548,8
8749,8
3142,8
337,8
11122,8
171,8
9752,8
3690,8
4039,8
5236,8
14185,8
10197,8
2047,8
8423,8
11916,8
14061,8
9669,8
5567,8
2442,8
6133,8
13235,8
310,8
6007,8
1484,8
4823,8
96,8
4195,8
1154,8
11753,8
9083,8
3749,8
11529,8
11606,8
1705,8
6036,8
4206,8
3710,8
7657,8
7999,8
15203,8
2641,8
2916,8
4906,8
129,8
7055,8
9390,8
5871,8
55,8
2270,8
454,8
3052,8
8273,8
6248,8
1417,8
2839,8
1295,8
9453,8
4180,8
3298,8
9563,8
14764,8
14862,8
12162,8
7923,8
1644,8
2473,8
3296,8
6115,8
2482,8
5809,8
239,8
13571,8
1350,8
1827,8
3531,8
1893,8
11799,8
9875,8
6069,8
6543,7
6419,7
8592,7
14604,7
4001,7
1934,7
3094,7
9707,7
15011,7
2567,7
5614,7
5360,7
3174,7
9303,7
12238,7
10475,7
14790,7
137,7
12408,7
1905,7
1926,7
1763,7
4057,7
4025,7
7119,7
203,7
11505,7
2947,7
7663,7
8570,7
4616,7
8522,7
8572,7
3311,7
9830,7
1774,7
2960,7
2023,7
9990,7
1702,7
3189,7
11970,7
2408,7
3965,7
5602,7
11503,7
632,7
1370,7
5394,7
2299,7
162,7
124,7
13421,7
3092,7
6940,7
11568,7
9368,7
11092,7
2484,7
8575,7
11723,7
3726,7
5199,7
10692,7
1504,7
11230,7
2278,7
7006,7
394,7
7743,7
8887,7
4728,7
6375,7
4776,7
8428,7
8391,7
7457,7
11515,7
604,7
5244,7
14108,7
2456,7
9920,7
13307,7
1817,7
1079,7
8263,7
11642,7
4705,7
5190,7
3276,7
7317,7
11510,7
738,7
2955,7
11072,7
4303,7
4778,7
13332,7
9849,7
1080,7
5730,7
1895,7
1369,7
1502,7
3173,7
11909,7
6213,7
1426,7
1411,7
13069,7
8083,7
8932,7
3137,7
253,7
6191,7
14554,7
2011,7
10158,7
3304,7
10644,7
7717,7
11495,7
10287,7
2157,7
4370,7
8847,7
12339,7
2934,7
9300,7
4183,7
10701,7
11348,7
4310,7
7957,7
70,7
15140,7
10868,7
8451,7
926,7
1537,7
11499,7
67,7
4417,7
5882,7
11830,7
3104,7
1488,7
890,7
2138,7
7222,7
5151,7
9928,7
1075,7
14138,7
9835,7
13158,7
7481,7
9902,7
3708,7
10367,7
4830,7
2758,7
10679,7
3175,7
481,7
620,7
2256,7
7043,7
6905,7
13600,7
1251,7
4090,7
7122,7
14213,7
1762,7
1173,7
14120,7
150,7
596,7
7734,7
3621,7
8247,7
3075,7
9365,7
7732,7
6873,7
10476,7
1696,7
8768,7
5460,7
8191,7
1316,7
1517,7
1899,7
2975,7
11506,7
6428,7
9644,7
13186,7
8364,7
7783,7
5836,7
15218,7
5574,7
6302,7
1828,7
3111,7
2639,7
4817,7
11051,7
937,7
6888,7
3816,7
8500,7
11315,7
3409,7
9361,7
2689,7
7361,7
4780,7
3299,7
8318,7
7809,7
8984,7
1442,7
10127,7
7133,7
3446,7
5844,7
7739,7
8280,7
1398,7
1755,7
14850,7
15273,7
9053,7
13333,7
1845,7
7912,7
2427,7
2694,7
6017,7
3378,7
1879,7
1491,7
11891,7
4790,7
7155,7
7843,7
2717,7
3231,7
8061,7
12500,7
1712,7
6688,7
6211,7
3468,7
293,7
2202,7
7587,7
10962,7
1700,7
5716,7
10016,7
1552,7
1554,7
9490,7
141,7
5859,7
6227,7
12565,7
3478,7
3319,7
1592,7
10263,7
10937,7
2553,7
3909,7
6039,7
12412,7
8889,7
2391,7
3799,7
6744,7
5893,7
12172,7
3482,7
11273,7
9348,7
6022,7
11517,7
4449,7
10050,7
8159,7
3994,7
6980,7
1579,7
5642,7
4218,7
1339,7
14997,7
6626,7
13725,7
482,7
7151,7
2640,7
10941,7
1235,7
2706,7
12952,7
13352,7
10951,7
11052,7
3762,7
10780,7
4981,7
13188,7
11577,7
1760,7
9284,7
6153,7
63,7
1471,7
6547,7
9810,7
4214,7
5516,7
3940,7
2659,7
220,7
9151,7
7549,7
8825,7
14367,7
2282,7
11659,7
11145,7
9014,7
8914,7
2756,7
3354,7
1664,7
7678,7
14276,7
7169,7
1521,7
10035,7
11511,7
9570,7
3170,7
8334,7
5656,7
11808,7
4897,7
3419,7
8705,7
7684,7
12913,7
3691,7
3629,7
6303,7
1808,7
8737,7
9158,7
12145,7
10015,7
9079,7
15136,7
5401,7
3285,7
6192,7
2545,7
2670,7
3235,7
4457,7
919,7
3358,7
15027,7
5814,7
9384,7
3620,7
10010,7
4059,7
6736,7
2735,7
6686,7
4175,7
14326,7
13315,7
3439,7
13271,7
6437,7
4430,7
7230,7
8145,7
4577,7
7735,7
10570,7
11512,7
9638,7
6257,7
6329,7
5937,7
2063,7
5812,7
12576,7
1559,7
897,7
6618,7
4215,7
2702,7
9917,7
1172,7
732,7
301,7
2062,7
4283,7
4210,7
10697,7
2214,7
2149,7
4415,7
968,7
6636,7
15288,7
7939,7
1811,7
527,7
9133,7
13293,7
1984,7
750,7
7622,7
14058,7
1698,7
13904,7
3455,7
2505,7
1501,7
10009,7
5733,7
9173,7
11904,7
6380,7
3546,7
8588,7
2334,7
8386,7
10986,7
502,7
8673,7
2688,7
9552,7
1446,7
9624,7
5353,7
7181,7
12263,7
2030,7
11069,7
4236,7
8988,7
10532,7
2313,7
4178,7
3082,7
11514,7
11504,7
4371,7
6593,7
5364,7
1996,7
4921,7
1725,7
3051,7
1667,7
15290,7
5835,7
10710,7
11860,7
3613,7
6548,7
440,7
5618,7
442,7
7744,7
1010,7
7802,7
1557,7
6306,7
453,7
11720,7
3596,7
15212,7
2284,7
703,7
10654,7
3721,7
13251,7
9231,7
1060,7
3146,7
2012,7
7510,7
5577,7
5895,7
10614,7
9203,7
14259,7
4249,7
2033,7
4756,7
8093,7
5144,7
4948,7
375,7
11387,7
8278,7
3218,7
10576,7
3472,7
617,7
13562,7
10659,7
5843,7
6695,7
2294,7
4307,7
2070,7
7569,7
1682,7
3312,7
8585,7
5117,7
8487,7
2347,7
7973,7
1396,7
2191,7
13005,7
3322,7
1150,7
891,7
11501,7
5217,7
623,7
4450,7
11494,7
65,7
5145,7
2586,7
2559,7
10800,7
10991,7
900,7
154,7
10196,7
8809,7
8702,7
6027,7
3188,7
4232,7
10305,7
2956,7
10587,7
8214,7
11480,7
3341,7
11507,7
6517,7
11509,7
